category,company,location,start_date,duration,stipend,apply_by,applicants,skills_required,perks,openings,link
Tamizhan Siragugal Volunteering Program (TSVIP),Tamizhan Siragugal Trust,"Work From Home,",Immediately,6 Months,Unpaid,25 Jan' 23,108.0,"Canva,MS-Office,Social Media Marketing,Tamil Proficiency (Spoken),Tamil Proficiency (Written),","Certificate,Letter of recommendation,Flexible work hours,",25.0,https://internshala.com/internship/detail/tamizhan-siragugal-volunteering-program-tsvip-work-from-home-job-internship-at-tamizhan-siragugal-trust1673416519
Campus Ambassador,Rainvas,"Work From Home,",Immediately,1 Month,Performance Based,25 Jan' 23,0.0,"Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,",10.0,https://internshala.com/internship/details/campus-ambassador-programme-at-rainvas1672926682
Research,Koru Foundation,"Work From Home,",Immediately,3 Months,Unpaid,25 Jan' 23,0.0,"Data Analytics,","Certificate,Letter of recommendation,Flexible work hours,",3.0,https://internshala.com/internship/detail/research-work-from-home-job-internship-at-koru-foundation1673413250
Fundraising,Sakshi,"Work From Home,",Immediately,1 Month,Unpaid,25 Jan' 23,0.0,,"Certificate,Letter of recommendation,Flexible work hours,",20.0,https://internshala.com/internship/detail/fundraising-work-from-home-job-internship-at-sakshi1673342927
Volunteering,Agaadh Foundation,"Work From Home,",Immediately,5 Months,Unpaid,25 Jan' 23,0.0,"Digital Marketing,Sales and Marketing,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",1.0,https://internshala.com/internship/detail/volunteering-work-from-home-job-internship-at-agaadh-foundation1673331608
ReactJS Development,Simmi Foundation Organization,"Work From Home,",Immediately,3 Months,Unpaid,24 Jan' 23,461.0,"CSS,Django,English Proficiency (Written),GitHub,HTML,JavaScript,Node.js,Project Management,Python,ReactJS,Redux,REST API,Tailwind CSS,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",5.0,https://internshala.com/internship/detail/reactjs-development-work-from-home-job-internship-at-simmi-foundation-organization1673356579
Product Management,Simmi Foundation Organization,"Work From Home,",Immediately,3 Months,Unpaid,24 Jan' 23,83.0,"English Proficiency (Spoken),English Proficiency (Written),Product Lifecycle Management(PLM),Product Management,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",7.0,https://internshala.com/internship/detail/product-management-work-from-home-job-internship-at-simmi-foundation-organization1673352487
Python Backend Development,Simmi Foundation Organization,"Work From Home,",Immediately,3 Months,Unpaid,24 Jan' 23,324.0,"CSS,Django,GitHub,HTML,Python,REST API,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",5.0,https://internshala.com/internship/detail/python-backend-development-work-from-home-job-internship-at-simmi-foundation-organization1668009929
Python Development (Django),Simmi Foundation Organization,"Work From Home,",Immediately,3 Months,Unpaid,24 Jan' 23,295.0,"Django,GitHub,HTML,Python,REST API,","Certificate,Letter of recommendation,Flexible work hours,",3.0,https://internshala.com/internship/detail/python-development-django-work-from-home-job-internship-at-simmi-foundation-organization1668009922
ReactJS,Simmi Foundation Organization,"Work From Home,",Immediately,3 Months,Unpaid,24 Jan' 23,410.0,"CSS,English Proficiency (Written),HTML,JavaScript,Node.js,Project Management,Python,ReactJS,Redux,REST API,","Certificate,Letter of recommendation,Flexible work hours,",5.0,https://internshala.com/internship/detail/reactjs-work-from-home-job-internship-at-simmi-foundation-organization1668009916
Recruitment,Marpu Foundation,"Work From Home,",Immediately,1 Week,Unpaid,24 Jan' 23,311.0,,"Certificate,",300.0,https://internshala.com/internship/detail/recruitment-work-from-home-job-internship-at-marpu-foundation1673347697
English Teaching,Agaadh Foundation,"Work From Home,",Immediately,6 Months,Unpaid,24 Jan' 23,0.0,"English Proficiency (Spoken),MS-PowerPoint,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",2.0,https://internshala.com/internship/detail/english-teaching-work-from-home-job-internship-at-agaadh-foundation1673349036
Public Relations &amp; Collaboration,Suvidha Foundation,"Work From Home,",Immediately,1 Month,Unpaid,24 Jan' 23,507.0,,"Certificate,Letter of recommendation,",5.0,https://internshala.com/internship/detail/public-relations-collaboration-work-from-home-job-internship-at-suvidha-foundation1673337146
Digital Marketing,Suvidha Foundation,"Work From Home,",Immediately,1 Month,Unpaid,24 Jan' 23,711.0,,"Certificate,Letter of recommendation,",10.0,https://internshala.com/internship/detail/digital-marketing-work-from-home-job-internship-at-suvidha-foundation1673337064
Content Writing,Suvidha Foundation,"Work From Home,",Immediately,2 Weeks,Unpaid,24 Jan' 23,558.0,"English Proficiency (Spoken),English Proficiency (Written),","Certificate,Letter of recommendation,",10.0,https://internshala.com/internship/detail/content-writing-work-from-home-job-internship-at-suvidha-foundation1673336344
Program Management,Radix Educational Trust,"Work From Home,",Immediately,3 Months,Unpaid,24 Jan' 23,0.0,,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,",10.0,https://internshala.com/internship/detail/program-management-work-from-home-job-internship-at-radix-educational-trust1673251725
